,Image,RAM_Tags,YOLO_Tags
0,70.jpg,cross | crosswalk | person | leash | man | pavement | push | road | sandal | street corner | walk | woman,"9 person, 4 car"
1,84.jpg,boy | city street | cross | crosswalk | person | man | pavement | puddle | ride | road | skateboard | skateboarder | street corner | walk,"8 person, 4 car, 1 traffic light"
2,98.jpg,city street | cross | crosswalk | person | intersection | man | pavement | push | road | street corner | walk | woman,"8 person, 4 car"
3,112.jpg,city street | cross | crosswalk | person | intersection | man | pavement | pedestrian | ride | road | scooter | skateboarder | street corner | walk,"7 person, 3 car"
4,126.jpg,city street | cross | crosswalk | person | intersection | man | pavement | pedestrian | road | spray | street corner | walk,"8 person, 3 car, 1 traffic light, 1 skateboard"
5,140.jpg,city | city street | cross | crosswalk | person | intersection | pavement | pedestrian | road | street corner | walk | woman,"8 person, 4 car, 1 skateboard"
6,154.jpg,city street | cross | crosswalk | person | intersection | man | pavement | pedestrian | road | street corner | walk | woman,"7 person, 3 car"
7,168.jpg,city street | cross | crosswalk | person | intersection | man | motorcycle | pavement | pedestrian | road | street corner | walk,"4 person, 4 car"
8,182.jpg,city street | cross | crosswalk | person | intersection | motorcycle | pavement | pedestrian | road | street corner | walk | woman | zebra crossing,"6 person, 5 car"
9,196.jpg,boy | child | city street | cross | crosswalk | person | intersection | man | motorcycle | pavement | puddle | road | street corner | walk | woman | zebra crossing,"4 person, 5 car"
10,210.jpg,city street | cross | crosswalk | person | intersection | man | motorcycle | pavement | road | spray | street corner | walk | woman,"4 person, 2 car, 1 traffic light"
11,224.jpg,car | city street | cross | crosswalk | person | intersection | moped | motorbike | motorcycle | motorcyclist | pavement | pedestrian | road | scooter | street corner | walk,"4 person, 5 car"
12,238.jpg,car | city street | cross | crosswalk | drive | person | intersection | man | moped | motorbike | motorcycle | motorcyclist | ride | road | scooter | street corner,"4 person, 4 car, 1 motorcycle, 1 traffic light"
13,252.jpg,car | city street | cross | crosswalk | person | intersection | man | moped | motorbike | motorcycle | motorcyclist | ride | road | scooter | street corner,"5 person, 4 car"
14,266.jpg,car | city street | cross | crosswalk | person | intersection | man | moped | motorbike | motorcycle | motorcyclist | ride | road | scooter | street corner,"5 person, 3 car"
15,280.jpg,bicycle | biker | car | city street | cross | crosswalk | person | intersection | man | moped | motorbike | motorcycle | motorcyclist | ride | road | scooter | street corner,"4 person, 3 car"
16,294.jpg,bicycle | biker | car | city street | cross | crosswalk | person | intersection | man | ride | road | street corner,"6 person, 3 car"
17,308.jpg,building | car | city street | cross | crosswalk | drive | intersection | license plate | minivan | park | road | sedan | street corner | suv | vehicle,"5 person, 2 car"
18,322.jpg,car | city street | crosswalk | curb | drive | gray | intersection | license plate | minivan | road | sedan | silver | street corner | suv | vehicle,"5 person, 2 car, 1 traffic light"
19,336.jpg,blue | car | city street | curb | drive | intersection | license plate | minivan | pavement | road | sedan | silver | street corner | suv | van | vehicle,"5 person, 2 car, 1 traffic light"
20,350.jpg,car | city street | cross | crosswalk | drive | person | intersection | pavement | road | street corner | suv | walk,"7 person, 3 car, 1 traffic light, 1 backpack"
21,364.jpg,car | city street | cross | crosswalk | person | intersection | pavement | pedestrian | road | street corner | walk,"8 person, 3 car, 1 traffic light, 1 backpack, 1 handbag"
22,378.jpg,car | city street | cross | crosswalk | person | intersection | pavement | pedestrian | road | street corner | walk,"8 person, 2 car, 1 backpack"
23,392.jpg,bicycle | biker | car | city street | cross | crosswalk | person | intersection | pedestrian | ride | road | street corner | walk,"8 person, 3 car, 1 traffic light, 1 backpack"
24,406.jpg,bicycle | biker | city | city street | cross | crosswalk | person | intersection | man | pedestrian | ride | road | urban | walk,"7 person, 4 car, 1 backpack"
25,420.jpg,bicycle | biker | city | city street | cross | crosswalk | person | intersection | man | pedestrian | ride | road | street corner | walk | woman,"5 person, 3 car, 1 traffic light, 1 skateboard"
26,434.jpg,city street | couple | cross | crosswalk | person | intersection | man | pedestrian | road | street corner | walk | woman,"5 person, 3 car, 1 traffic light"
27,448.jpg,city street | couple | cross | crosswalk | person | intersection | pedestrian | road | shopping bag | street corner | walk | woman,"6 person, 3 car, 1 traffic light"
28,462.jpg,briefcase | city street | cross | crosswalk | person | pavement | road | street corner | walk | woman,"8 person, 3 car"
29,476.jpg,briefcase | city street | couple | cross | crosswalk | person | man | pavement | road | shopping bag | street corner | walk | woman,"8 person, 3 car"
30,490.jpg,city street | couple | cross | crosswalk | person | man | pavement | road | shopping bag | street corner | walk | woman,"10 person, 2 car, 1 traffic light, 1 skateboard"
31,504.jpg,city street | cross | crosswalk | girl | person | pavement | push | road | street corner | walk | woman,"8 person, 4 car"
32,518.jpg,biker | car | city street | cross | crosswalk | person | intersection | man | motorbike | motorcycle | motorcyclist | pavement | ride | road | scooter | street corner | street sign,"7 person, 5 car"
33,532.jpg,baby carriage | car | city street | crosswalk | person | intersection | man | moped | motorbike | motorcycle | motorcyclist | pavement | push | ride | road | scooter | street corner,"9 person, 4 car"
34,546.jpg,baby carriage | car | city street | cross | crosswalk | person | intersection | man | mobility scooter | moped | motorbike | motorcycle | push | ride | road | scooter | segway | spray | street corner | tricycle | wheelchair,"5 person, 5 car, 1 traffic light, 1 handbag"
35,560.jpg,baby carriage | city street | cross | crosswalk | person | intersection | man | motorbike | motorcycle | motorcyclist | push | ride | road | scooter | street corner,"4 person, 4 car, 1 traffic light"
36,574.jpg,baby carriage | car | city street | cross | crosswalk | drive | person | intersection | man | motorbike | motorcycle | motorcyclist | push | ride | road | scooter | street corner,"5 person, 6 car, 1 motorcycle, 1 traffic light"
